Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,PC_m
POL,CO_Bridge,P3c,Emissions|CO2,Mt CO2/yr,39436.4444,34467.6939,30654.7011,24766.2849,19504.8141,14408.4883,8672.9805,6629.266,4585.5515,3752.92845,2920.3054,2435.71205,1951.1187,1530.6396,1110.1605,706.70345,303.2464,3
POL,CO_Bridge,P3c,Emissions|CO2|AFOLU,Mt CO2/yr,3282.0259,1813.4959,950.3739,-298.3425,-1399.416,-2067.681,-2755.0402,-2732.30865,-2709.5771,-2639.9986,-2570.4201,-2439.4989,-2308.5777,-2180.28675,-2051.9958,-1974.55045,-1897.1051,3
POL,CO_Bridge,P3c,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36053.0953,32608.9478,29665.2091,25030.4568,20872.2633,16445.5678,11398.4067,9332.2888,7266.1709,6364.1691,5462.1673,4846.78095,4231.3946,3682.7115,3134.0284,2653.19025,2172.3521,3
POL,CO_Bridge,P3c,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,8855.7366,7056.2815,6125.4648,5217.4273,4521.4892,3799.6934,3035.6144,2723.72405,2411.8337,2200.1636,1988.4935,1834.92025,1681.347,1565.61125,1449.8755,1350.6687000000002,1251.4619,3
POL,CO_Bridge,P3c,Primary Energy|Coal,EJ/yr,168.6025,134.7567,109.0305,84.3932,68.8498,56.6735,46.046,41.75975,37.4735,34.1961,30.9187,28.3413,25.7639,23.71865,21.6734,20.021,18.3686,3
POL,CO_Bridge,P3c,Secondary Energy|Electricity|Coal,EJ/yr,33.0707,30.9845,26.1848,20.0365,15.5039,11.9968,9.2826,8.23265,7.1827,6.3702,5.5577,4.92915,4.3006,3.8141,3.3276,2.9513,2.575,3
POL,CO_Bridge,P3c,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,12481.6879,12294.0786,10689.2918,7876.6834,5280.8161,2665.0692,-234.3373,-1357.4742,-2480.6111,-2894.93345,-3309.2558,-3567.0486,-3824.8414,-4080.82795,-4336.8145,-4550.3282500000005,-4763.842,3
POL,CO_Bridge,P3c,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3809,11.3196,12.2474,13.0109,13.8909,14.8283,15.8517,16.40285,16.954,17.5122,18.0704,18.6397,19.209,19.76835,20.3277,20.8213,21.3149,3
POL,CO_Bridge,P3c,Final Energy|Industry|Solids|Coal,EJ/yr,41.4189,18.2951,9.0533,3.8285,2.2659,1.5359,1.0912,0.96825,0.8453,0.73985,0.6344,0.5550999999999999,0.4758,0.4189,0.362,0.3188999999999999,0.2758,3
POL,CO_Bridge,P3c,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9258,1.5447,0.7723,0.3919,0.2379,0.1531,0.1002,0.0843,0.0684,0.0577,0.047,0.03955,0.0321,0.0270999999999999,0.0220999999999999,0.0185499999999999,0.015,3
