Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Emissions|CO2,Mt CO2/yr,43907.5503,30788.2256,21076.1268,12666.2737,5447.7891,-543.6871,-413.2438,-3728.9053,-5258.9563,-6501.4728,-7657.0574,-8285.7706,-8418.9858,-9072.2251,-9964.3564,-8276.8093,-8611.3823
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Emissions|CO2,Mt CO2/yr,43943.2767,31731.4478,23872.383,21181.6558,21409.4609,21980.7824,18343.4203,13867.353,10980.7007,15043.5645,12896.3541,12750.8198,13166.0372,12254.7836,10392.4725,9320.3627,7758.4382
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Emissions|CO2,Mt CO2/yr,43943.2767,31731.5531,23879.8703,15256.4864,12899.0741,10055.6276,8213.4431,3847.7898,858.7188,1753.1507,919.0067,1217.7906,1595.5126,989.0629,-915.7661,-1491.7578,-2459.8946
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Emissions|CO2,Mt CO2/yr,43970.3298,43521.0594,41558.2299,27777.6264,17620.4085,15870.4335,13654.1067,11856.7369,8049.9381,11011.765,9749.0081,9574.3759,10536.1824,9812.5665,7374.9209,6544.351,5286.6303
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Emissions|CO2,Mt CO2/yr,44557.478,44251.8973,41746.2485,16329.2816,8994.476,2853.294,87.1537,-3433.2104,-4686.0844,-4963.4266,-6589.1981,-5979.0873,-6495.7647,-6556.196,-7435.7386,-5373.7012,-5746.4393
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Emissions|CO2,Mt CO2/yr,43970.3298,43521.0594,41558.2299,27777.0853,17560.2809,5990.6792,2782.688,-838.3361,-4621.8108,-5853.6224,-6761.645,-5101.9257,-4718.4834,-5134.286,-6346.5591,-6594.7268,-7142.0107
AIM/CGE 2.0,ADVANCE_INDC,P1c,Emissions|CO2,Mt CO2/yr,44425.6961,43720.9025,42328.599,41116.0284,39411.1059,36950.7916,34208.6205,31526.0561,29088.8496,25346.5039,23121.5971,21092.9752,19179.8885,17427.6673,15870.3741,14454.5227,13143.612
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Emissions|CO2,Mt CO2/yr,45938.1002,49234.5509,51371.473,53575.6167,55539.2823,57161.8241,57718.7628,58984.8131,60166.758,62130.0042,65473.9886,68620.7389,70407.2799,70842.7122,72168.6876,73351.5282,74030.337
AIM/CGE 2.0,ADVANCE_Reference,P1b,Emissions|CO2,Mt CO2/yr,44425.6961,47262.6342,48703.8884,50351.2191,52139.6,53153.0947,53116.6667,54073.7324,54790.6309,55523.3155,57320.7627,60342.1787,63159.1417,65465.5048,66378.2212,66623.969,67605.3914
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39045.7254,29177.1512,19323.664,15726.3401,13389.3425,11518.5338,8512.1092,7551.6682,7066.8025,7169.7796,6452.1428,6902.4157,7402.8101,7711.6803,8013.6627,8500.7199,8987.1215
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Emissions|CO2,Mt CO2/yr,39045.7254,35199.7095,31042.0858,26794.658,24013.7738,22724.2582,20382.8581,18158.8371,17162.8062,16248.5009,14802.8757,14515.1901,14117.7216,13880.1964,13688.7114,13949.2373,14162.5939
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45706.4089,48962.1639,51280.0761,53806.9972,56088.1819,58163.8612,59589.6308,61035.5463,62025.5946,63135.5696,64406.1363,65638.6728,66787.1443,68186.4211,69526.4072,70778.5317,72037.9523
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,37821.3648,28338.5643,18467.693,14454.0613,11297.6444,9115.9629,6443.8421,5152.0921,4294.3038,3928.1787,3015.5876,3135.9867,3291.339,3226.735,3203.0105,3381.4436,3530.774
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Emissions|CO2,Mt CO2/yr,37821.3648,34041.6156,29974.4845,25344.7484,21934.0741,20331.3098,17954.3118,15710.5652,13902.6771,12603.4688,11059.9217,10478.2749,9841.1285,9383.6722,8957.1082,8917.543,8837.1301
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Emissions|CO2,Mt CO2/yr,42772.3113,44752.595,45767.6097,46941.6661,47912.2391,48685.8927,48930.6292,49932.843,50267.1385,50162.8822,50203.4012,50185.1293,50175.6441,50185.3638,50208.06,50420.3028,50490.5871
