Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,5342.0109,1570.4454,752.912,-381.2369,-1579.3129,-2684.3079,140.6341,99.143,89.5683,88.0307,64.5805,39.6464,-94.989,-746.9334,-1634.3932,34.6074,-300.281
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,5380.1137,1571.9793,730.1728,75.0791,1183.8227,3272.3166,1329.8566,-1284.9455,-2074.1838,3895.511,1346.8635,802.9036,711.8582,-578.5539,-1935.8699,-1877.356,-1850.5741
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,5380.1137,1572.0821,729.6161,-319.6681,-601.9183,-1627.7708,-1419.4144,-3299.0154,-3315.1487,439.0238,-685.8809,-670.0975,-628.4295,-1491.5306,-3088.4615,-2955.7867,-2905.6937
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,5621.6044,4800.2037,3363.3748,439.8381,-518.5929,-731.2898,-1274.1951,-941.6756,-2252.1765,2913.5051,1134.9866,487.1195,903.0522,-238.5953,-2329.5275,-2252.8679,-2196.4069
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,5810.1807,5276.296,3439.3513,859.3812,120.7244,-953.0798,-1223.7435,-2716.1725,-3080.0499,-3264.0748,-4229.1044,-3115.6938,-3671.9422,-3592.9921,-3927.8517,-3588.2913,-3739.518
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,5621.6044,4800.2037,3363.3748,439.3118,-519.1546,-1699.3313,-2655.3755,-3325.1132,-3781.8054,-1850.9975,-3239.6227,-2039.7803,-2158.9589,-3001.4177,-4191.6136,-4047.0122,-3983.2092
AIM/CGE 2.0,ADVANCE_INDC,P1c,Emissions|CO2|AFOLU,Mt CO2/yr,5724.8647,4498.287,3670.8155,3071.9087,2377.8607,1375.5301,514.9285,-92.4095,-614.112,-1992.0165,-2321.8064,-2460.7724,-2639.376,-2772.4116,-2867.9145,-2973.1653,-3030.9843
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,6230.0962,6087.412,5254.3274,4608.1898,4120.7364,3736.8308,3185.541,3374.419,3010.6197,2560.7322,2222.2353,1892.5725,1523.0023,1157.5918,935.8764,581.3401,361.6929
AIM/CGE 2.0,ADVANCE_Reference,P1b,Emissions|CO2|AFOLU,Mt CO2/yr,5724.8647,5826.153,5217.2509,4917.6671,4699.8818,4198.8234,3648.231,3857.4377,3572.0163,2891.3908,2313.5978,1888.118,1488.3148,1157.6031,912.8597,604.1217,391.0654
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.111,1329.5778,86.1268,-1011.1962,-1741.6823,-2179.3742,-3159.4417,-2812.8499,-2788.4484,-2392.1164,-2609.5849,-2047.2998,-1640.8987,-1502.0691,-1372.3357,-1078.5843,-805.9788
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.111,1847.028,1066.7568,400.6293,411.158,952.3192,700.4612,388.3151,-236.8601,-667.4606,-1029.5731,-843.3887,-961.1159,-1006.0453,-1064.4412,-852.0242,-783.5404
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5923.2828,5618.9561,4756.0864,4187.4015,3776.6634,3485.4362,2933.139,3257.8916,2923.3981,2635.3625,2399.1554,2167.4558,1806.2188,1547.1016,1363.5994,1071.961,868.2937
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,4006.5319,1461.0603,303.8869,-1031.773,-2197.6414,-2775.7284,-3240.5663,-3263.7734,-3343.7579,-3361.6397,-3358.7044,-3130.476,-2983.9301,-3057.4059,-3088.426,-2915.6595,-2724.8739
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,4006.5319,2193.5516,1321.1475,438.5251,148.0336,413.5952,-80.4608,-179.6557,-824.0734,-1204.2015,-1299.5292,-1375.3395,-1641.5735,-1758.6526,-1815.9984,-1647.1765,-1602.8996
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5937.9812,5630.3469,4766.7239,4187.0834,3747.2547,3375.7436,2829.4569,3119.5571,2765.8821,2460.7687,2183.6757,1903.6387,1619.7825,1397.0758,1146.8723,965.3345,670.7609
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3588.5453,1398.0001,210.8498,-1068.8205,-2061.7536,-2543.0148,-3210.6044,-3046.4859,-3076.7385,-2839.0737,-2901.5435,-2386.6016,-2020.4976,-1918.862,-1827.1689,-1565.7267,-1321.471
