Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38487.2215,29190.3869,20303.115,13030.1887,7011.8444,2127.115,-567.3193,-3841.1866,-5362.0694,-6603.7472,-7735.8491,-8339.4069,-8338.3882,-8339.84,-8344.1995,-8328.2264,-8328.0162
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38484.8856,30130.7752,23120.1542,21083.649,20200.7651,18681.7816,16985.1934,15123.7344,13026.8183,11120.9676,11520.8207,11917.7919,12422.8744,12800.9814,12295.6271,11165.1439,9577.3115
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38484.8856,30130.7691,23128.2272,15557.4827,13481.877,11663.5618,9612.4278,7126.7315,4155.4909,1297.5218,1587.2527,1869.3903,2204.5531,2460.3244,2152.2019,1443.793,426.1788
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38278.9936,38658.707,38135.0375,27311.5044,18117.7601,16579.2299,14904.7103,12774.2456,10277.7656,8074.8788,8589.0031,9060.7772,9605.1067,10021.6247,9674.4748,8767.703,7454.5715
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38677.5661,38911.9878,38246.6419,15452.5381,8858.4607,3792.8366,1297.5809,-730.13,-1619.5056,-1713.4837,-2374.1685,-2877.3142,-2838.1601,-2977.7128,-3522.1011,-1802.1307,-2023.771
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38278.9936,38658.707,38135.0375,27311.5304,18058.2414,7674.0271,5422.0207,2471.5332,-853.5849,-4013.585,-3533.9559,-3075.2574,-2573.6646,-2147.8723,-2170.2233,-2562.7756,-3173.228
AIM/CGE 2.0,ADVANCE_INDC,P1c,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38631.537,39160.0454,38597.6984,37989.5952,36982.2481,35524.9121,33643.4093,31568.6096,29654.2915,27297.7592,25404.3129,23516.1368,21782.8483,20165.5609,18705.3223,17396.0088,16144.3819
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39607.8217,43042.1849,46008.025,48854.7207,51302.5096,53305.7736,54411.013,55485.2601,57028.0424,59438.262,63117.9255,66591.6629,68745.2124,69543.605,71088.9467,72624.0798,73520.4074
AIM/CGE 2.0,ADVANCE_Reference,P1b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38631.537,41362.921,43409.4653,45353.3035,47356.6251,48868.4758,49380.0863,50125.4711,51125.2927,52536.1436,54909.0053,58353.647,61568.2723,64203.3174,65358.8636,65911.5815,67104.3694
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35590.3926,27819.7178,19217.4185,16718.4306,15113.0755,13680.1785,11654.025,10347.5892,9838.9048,9545.8643,9046.2347,8934.2456,9028.0187,9197.7578,9369.6824,9562.6311,9776.0343
