Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6263.6106,3972.4081,2437.8896,1448.0823,840.3855,470.0186,397.339,330.5265,334.422,371.1929,336.0184,292.6634,305.4197,297.0911,253.8679,451.592,434.9809
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6263.338,4137.3424,2891.6879,2643.6061,2694.7107,2734.8195,2798.9084,2677.4448,2417.6134,2162.0905,2314.4464,2442.6555,2555.4061,2628.4149,2569.1396,2422.1129,2178.4078
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6263.338,4138.5075,2888.4173,1819.3053,1668.211,1596.7299,1495.3828,1296.554,993.6944,721.1931,801.7735,862.7278,927.0606,982.8122,961.2901,887.6433,776.6009
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6198.3087,5964.5103,5647.9881,3494.2559,2241.6449,2178.863,2123.737,2005.6093,1835.3578,1595.3666,1748.4084,1859.8445,2013.0959,2146.6706,2115.7832,1961.7792,1736.1586
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6290.0145,6012.6818,5674.615,1739.0492,984.7529,562.1462,460.3445,397.5129,411.4473,446.0219,413.5994,373.7189,386.4638,377.2732,330.9638,528.0079,512.1081
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6198.3087,5964.5103,5647.9881,3490.05,2231.7169,974.0062,849.4982,650.7221,411.585,178.9121,228.5215,297.582,360.8203,411.551,410.9737,369.6901,298.5346
AIM/CGE 2.0,ADVANCE_INDC,P1c,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6280.3452,6088.1025,5761.2677,5487.6796,5233.9878,5045.8936,4849.7019,4705.7417,4613.8593,4189.8476,3996.9515,3792.1336,3598.9614,3407.9124,3230.6404,3080.5479,2913.6896
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6363.0993,6430.4216,6406.8814,6407.1142,6391.8927,6340.9366,6214.2892,6218.4774,6322.1282,6512.8886,6715.9947,6744.7722,6534.2105,6185.6269,6047.0858,5945.6364,5789.3821
AIM/CGE 2.0,ADVANCE_Reference,P1b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,6280.3452,6342.2939,6279.1433,6238.9332,6187.1027,6106.6045,5923.183,5901.0399,5959.1089,6085.2697,6301.3124,6520.5678,6566.8701,6504.5206,6211.6332,5940.3002,5802.5992
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4175.8233,2800.02,1616.9792,1273.2355,995.6479,914.6706,840.6816,720.5237,610.0184,538.3847,450.8044,417.7266,411.3838,412.8867,415.358,419.7457,427.4543
