Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13728.8751,13629.8473,13095.5564,7578.7475,5098.818,3013.43,1916.1046,796.5867,-974.1828,-2352.4594,-2392.1415,-2361.2417,-2228.2312,-2134.9796,-2557.7672,-3112.0958,-4348.8376
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13784.436,13789.4816,13314.2916,13163.8141,13377.2334,13740.3548,14240.0144,14997.9257,15678.4066,16637.1288,17531.565,18565.3086,19813.5903,21200.2388,22653.288,24128.4883,25584.639
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13728.8751,13629.8473,13095.5564,7465.3451,4718.8768,1167.4439,-1148.55,-3336.3118,-4600.2093,-5548.8337,-6065.0415,-6452.7657,-6862.437,-7229.3377,-7628.7241,-7928.0014,-8175.3069
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13947.1192,14843.922,15552.6344,16549.9448,17432.9181,18463.1813,19795.2988,21662.2776,23186.6234,24841.9266,26444.0999,28202.1205,29695.5765,31207.2748,32724.7836,34920.2084,36359.1159
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13585.8234,11545.2026,7984.3382,4855.4107,2606.9724,133.8893,-787.9235,-2187.2206,-4305.335,-5704.5482,-6112.8823,-6448.2899,-6784.234,-6859.9934,-7220.2183,-7850.0937,-8322.5861
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13570.9426,11701.4213,7968.8712,5922.2152,4637.9739,3928.3006,3362.7296,2319.3574,741.3447,-892.7663,-729.9997,-559.8074,-254.2108,34.6246,-295.7296,-1195.8388,-2446.185
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13587.0532,10621.621,7375.846,4433.2653,1526.3508,-1432.6161,-3197.0367,-3903.5334,-4559.9027,-5227.5761,-5546.4654,-5736.3959,-5784.6005,-5885.2506,-6082.6667,-6277.637,-6061.2513
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15307.5826,16986.7704,18775.3201,20755.8862,22467.2426,24147.3097,25751.7431,27201.8463,28197.5179,29337.5372,30705.9674,32721.3389,34922.0249,36871.1045,38240.4986,39531.9394,41517.2911
AIM/CGE 2.1,CO_Bridge,P3c,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,12481.6879,12294.0786,10689.2918,7876.6834,5280.8161,2665.0692,-234.3373,-1357.4742,-2480.6111,-2894.93345,-3309.2558,-3567.0486,-3824.8414,-4080.82795,-4336.8145,-4550.3282500000005,-4763.842
AIM/CGE 2.1,CO_CurPol,P1b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,12509.141,13724.0995,14639.2633,15836.195,16883.7627,17827.3974,18356.8606,18684.85495,19012.8493,19019.5328,19026.2163,19220.63355,19415.0508,19898.75765,20382.4645,21024.8885,21667.3125
