Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.041,10.7613,11.3509,12.0257,12.6786,13.3408,13.99,14.6128,15.232,15.8346,16.3948,16.9171,17.3872,17.7793,18.0999,18.3216,18.4364
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.041,10.8591,11.5947,12.2625,12.9168,13.5807,14.2271,14.8632,15.477,16.0701,16.6138,17.1149,17.5557,17.9241,18.2192,18.4206,18.5231
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0812,10.9624,11.753,12.4611,13.1607,13.8241,14.4497,15.0715,15.692,16.2911,16.8474,17.3436,17.7909,18.1491,18.4624,18.6479,18.7149
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0554,10.7935,11.3797,12.0547,12.7,13.3445,13.9531,14.574,15.1807,15.7842,16.2977,16.7984,17.2489,17.6224,17.9081,18.1127,18.2006
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0554,10.8866,11.622,12.2774,12.9283,13.5812,14.21,14.8381,15.4484,16.0255,16.5506,17.0431,17.472,17.827,18.0964,18.2926,18.3843
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.081,10.9613,11.7475,12.4493,13.1413,13.8003,14.4185,15.0291,15.6354,16.2235,16.766,17.2507,17.6646,18.0136,18.2768,18.473,18.5551
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7231,10.3579,10.8766,11.4601,12.0206,12.585,13.1279,13.6707,14.2036,14.7289,15.2127,15.6636,16.0589,16.3873,16.6436,16.8197,16.9025
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7231,10.4361,11.0703,11.6366,12.2017,12.769,13.3184,13.8635,14.3927,14.8992,15.3597,15.7836,16.1488,16.4464,16.6752,16.8259,16.8917
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7492,10.508,11.1817,11.7809,12.3746,12.9403,13.4713,13.9987,14.5238,15.0311,15.4982,15.9126,16.2623,16.549,16.7657,16.9012,16.9656
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0416,10.7624,11.3506,12.022,12.667,13.321,13.953,14.5766,15.1854,15.7915,16.3429,16.8747,17.347,17.7424,18.0622,18.2835,18.4045
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0416,10.86,11.5962,12.2573,12.9145,13.5731,14.2166,14.8493,15.4593,16.0471,16.5822,17.0863,17.5315,17.8953,18.1913,18.3939,18.4968
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0817,10.963,11.7539,12.4623,13.1623,13.8263,14.4525,15.075,15.696,16.2955,16.8522,17.3492,17.7969,18.1551,18.469,18.6541,18.721
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0416,10.7698,11.3565,12.0281,12.6728,13.3301,13.977,14.5908,15.2024,15.807,16.3599,16.887,17.3582,17.7528,18.0753,18.2959,18.4151
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0416,10.8615,11.6022,12.2729,12.9281,13.5885,14.2375,14.8633,15.4719,16.0587,16.5939,17.0948,17.5372,17.9037,18.2,18.4018,18.5053
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0817,10.963,11.7539,12.4623,13.1623,13.8263,14.4525,15.075,15.696,16.2955,16.8522,17.3492,17.7969,18.1551,18.469,18.6541,18.721
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0411,10.762,11.3529,12.0268,12.6782,13.3371,13.9768,14.6001,15.2144,15.8195,16.3714,16.9016,17.3738,17.7684,18.0904,18.311,18.4289
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0411,10.8594,11.5957,12.2575,12.9179,13.58,14.2247,14.8589,15.4712,16.0629,16.6031,17.1042,17.5471,17.9138,18.2098,18.4116,18.5121
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0813,10.9624,11.7531,12.4612,13.1608,13.8243,14.45,15.0719,15.6924,16.2915,16.8479,17.3442,17.7915,18.1496,18.4629,18.6482,18.7151
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0393,10.7614,11.3544,12.0281,12.6772,13.335,13.9681,14.5942,15.2065,15.816,16.3657,16.8974,17.3701,17.7657,18.0869,18.3072,18.4269
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0393,10.8581,11.596,12.2666,12.9207,13.5837,14.2291,14.8656,15.4791,16.0699,16.609,17.1141,17.5607,17.9292,18.2271,18.4308,18.5341
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0799,10.9606,11.7508,12.4587,13.158,13.8216,14.4475,15.0691,15.6892,16.2878,16.8436,17.3377,17.7844,18.1418,18.4518,18.637,18.7098
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0417,10.7634,11.3549,12.0286,12.6753,13.3301,13.959,14.5841,15.2022,15.8169,16.369,16.9014,17.3749,17.7704,18.0897,18.3102,18.4273
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0417,10.8604,11.5971,12.2582,12.9146,13.5718,14.2154,14.848,15.4593,16.0471,16.5833,17.0869,17.5309,17.8945,18.1909,18.3935,18.4969
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0817,10.9631,11.7539,12.4623,13.1622,13.8261,14.4521,15.0745,15.6954,16.2948,16.8515,17.3482,17.7957,18.1536,18.4672,18.6521,18.7189
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0419,10.7659,11.3647,12.043,12.6894,13.3407,13.9627,14.5724,15.1698,15.7773,16.3181,16.8459,17.317,17.7114,18.0325,18.2534,18.3769
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0419,10.8615,11.5998,12.2632,12.9208,13.5801,14.2214,14.8526,15.463,16.0481,16.5834,17.085,17.5274,17.8936,18.1911,18.3942,18.4987
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0817,10.963,11.7538,12.4621,13.1618,13.8254,14.4512,15.0735,15.6943,16.2936,16.8502,17.3468,17.794,18.1517,18.4649,18.6496,18.7229
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0392,10.7728,11.3797,12.0617,12.7221,13.3846,14.0283,14.6485,15.2652,15.8712,16.4311,16.9575,17.425,17.8134,18.1283,18.3458,18.4594
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0392,10.8613,11.6078,12.2861,12.9482,13.6141,14.2609,14.8884,15.5025,16.0936,16.6345,17.135,17.5747,17.9405,18.2364,18.435,18.5362
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.0795,10.9599,11.7498,12.4572,13.1559,13.8186,14.4431,15.0641,15.6836,16.2814,16.8366,17.3294,17.775,18.1317,18.4383,18.6257,18.6978
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7277,10.3802,10.9107,11.4972,12.0662,12.6303,13.1713,13.7037,14.2336,14.7589,15.2394,15.673,16.0474,16.3501,16.5788,16.7294,16.7908
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7277,10.4518,11.0912,11.6592,12.2225,12.7839,13.3225,13.8575,14.3861,14.8877,15.3437,15.7553,16.1062,16.3868,16.596,16.7311,16.7807
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,9.7433,10.4998,11.1683,11.7602,12.345,12.9037,13.4272,13.9449,14.4578,14.9505,15.4048,15.8054,16.1428,16.4087,16.6023,16.723,16.7586
AIM/CGE 2.1,CO_Bridge,P3c,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3809,11.3196,12.2474,13.0109,13.8909,14.8283,15.8517,16.40285,16.954,17.5122,18.0704,18.6397,19.209,19.76835,20.3277,20.8213,21.3149
AIM/CGE 2.1,CO_CurPol,P1b,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3898,11.405,12.4055,13.3817,14.4045,15.4488,16.5252,17.0943,17.6634,18.2521,18.8408,19.44115,20.0415,20.6262,21.2109,21.73695,22.263
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3495,11.249,12.0384,12.7389,13.8181,14.9804,16.1845,17.4209,18.6126,19.8124,20.9503,21.9375,22.757,23.3156,23.7225,23.7919,23.7726
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.329,11.2125,11.9985,12.6855,13.745,14.8907,16.0949,17.3404,18.5381,19.7116,20.7827,21.7182,22.5017,23.0368,23.3844,22.7166,22.004
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3495,11.2435,12.1467,13.1735,14.2414,15.3147,16.4195,17.5731,18.7704,19.9869,21.1587,22.2181,23.1024,23.7434,24.2469,24.4423,24.3092
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.329,11.207,12.0983,13.1202,14.1863,15.2563,16.3673,17.5377,18.7275,19.9519,21.1318,22.1576,23.0318,23.6803,24.1715,24.3124,24.1565
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3462,11.4102,12.4574,13.4794,14.5478,15.6352,16.7518,17.9109,19.1349,20.4053,21.6303,22.7431,23.6723,24.3687,24.8364,25.0593,24.9846
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3254,11.3856,12.4285,13.4469,14.5137,15.5951,16.7063,17.8851,19.1373,20.4282,21.662,22.7868,23.7323,24.4542,24.9643,25.1471,25.0523
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2349,6.8799,6.5208,6.1423,5.7921,5.4599,5.1255,4.7891,4.4571,4.1224,3.795,3.4734,3.1604
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2402,6.8893,6.5243,6.1465,5.7918,5.4585,5.1231,4.7834,4.4459,4.1068,3.7775,3.4551,3.1425
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2687,6.9183,6.5409,6.1585,5.7784,5.4491,5.116,4.7815,4.4476,4.1139,3.7871,3.4667,3.1554
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.283,6.9299,6.5467,6.164,5.7875,5.4408,5.1101,4.779,4.4409,4.1019,3.7724,3.4502,3.1376
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.3065,6.9419,6.5534,6.1688,5.7916,5.4292,5.0983,4.7647,4.438,4.1036,3.7782,3.4591,3.1482
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.3243,6.9479,6.5585,6.1728,5.7952,5.4304,5.0895,4.757,4.4321,4.0947,3.7657,3.444,3.1316
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.3372,6.9545,6.5622,6.1763,5.7992,5.4314,5.0816,4.7523,4.4238,4.0977,3.7726,3.4533,3.1411
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.3542,6.9629,6.5662,6.181,5.8067,5.435,5.0802,4.7427,4.413,4.0828,3.7578,3.4366,3.1247
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.3542,6.9629,6.5662,6.181,5.8067,5.435,5.0802,4.7427,4.413,4.0828,3.7578,3.4366,3.1247
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2233,6.8416,6.4943,6.149,5.8173,5.4749,5.1406,4.806,4.4733,4.1378,3.8093,3.4867,3.1726
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2235,6.8544,6.5063,6.1411,5.8007,5.4716,5.1315,4.7976,4.4654,4.1304,3.8025,3.4803,3.1666
