Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4589,5.4821,1.7145,1.0335,0.6442,0.5409,0.4679,0.3445,0.247,0.19,0.136999999999999,0.1143,0.1035,0.0963,0.0903,0.086,0.0828
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4589,9.8087,6.2236,4.1265,2.6926,2.3077,2.1269,1.9162,1.5441,1.2028,0.8429,0.6689,0.5552,0.4708,0.4032,0.3596,0.3289
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6294,21.9036,20.7584,19.7052,18.4576,17.0147,15.4981,12.9858,11.1112,9.6387,8.4658,7.5177,6.8231,6.394,5.9883,5.5813,5.1951
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.9724,5.7898,1.6834,1.0113,0.5994,0.4442,0.2935,0.1953,0.1149,0.0811,0.0396,0.032,0.0284,0.0254,0.0225,0.0199,0.0173
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.9724,10.8452,6.6438,4.2321,2.5665,2.0738,1.7896,1.4734,1.1643,0.8082,0.4898,0.3767,0.3006,0.2421,0.1926,0.1609,0.1382
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,21.1024,19.9515,18.4916,17.1545,15.6981,14.1881,12.6268,11.4173,10.1617,8.3508,6.9819,5.9239,5.0961,4.4396,3.9476,3.618,3.298
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,15.6788,5.1787,1.5911,0.9811,0.6069,0.475,0.3615,0.2586,0.1774,0.1361,0.0919,0.0777,0.0712,0.0672,0.0641,0.0616,0.0598
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,15.6788,9.5354,5.9515,3.9516,2.5144,2.135,1.9363,1.7184,1.4318,1.0881,0.7166,0.5767,0.4849,0.4132,0.3521,0.3112,0.2834
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,20.2309,19.1609,17.9071,16.8409,15.6858,14.4162,13.1252,11.6335,9.841,8.4785,7.4085,6.5389,5.8638,5.4162,5.0751,4.6976,4.3706
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4761,5.5089,1.7231,1.0415,0.6384,0.5036,0.3782,0.2705,0.1823,0.1392,0.0898,0.0762,0.0697,0.0654,0.0614,0.0583,0.055999999999999
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4761,9.8493,6.282,4.2323,2.7565,2.2869,2.0427,1.7682,1.378,1.019,0.6631,0.5239,0.4326,0.3617,0.3059,0.2686,0.2422
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6305,21.9058,20.7624,19.7124,18.4699,17.0353,15.5264,13.0241,11.1568,9.6898,8.5202,7.5735,6.877,6.4451,6.0399,5.6324,5.2464
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4761,5.5336,1.7615,1.0684,0.6617,0.5417,0.4462,0.3152,0.2207,0.1682,0.1116,0.0933,0.0848,0.0792,0.0744,0.0708,0.068
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4761,9.9582,6.4957,4.4034,2.9371,2.4494,2.2113,1.9203,1.5179,1.1411,0.7538,0.5964,0.4953,0.4184,0.3575,0.316,0.2834
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6305,21.9058,20.7624,19.7124,18.4699,17.0353,15.5264,13.0241,11.1568,9.6898,8.5202,7.5735,6.877,6.4451,6.0399,5.6324,5.2464
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4639,5.5037,1.7249,1.0429,0.6451,0.525,0.423,0.3069,0.2134,0.1618,0.1063,0.0906,0.0835,0.0789,0.0748,0.0716,0.0691
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4639,9.839,6.2712,4.1997,2.7366,2.3122,2.1015,1.857,1.4697,1.1208,0.7583,0.5992,0.496,0.418,0.3569,0.316,0.2868
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6294,21.9039,20.7596,19.7076,18.4613,17.0195,15.504,12.9935,11.1189,9.6464,8.4733,7.5247,6.8295,6.3998,5.994,5.5868,5.2004
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1733,5.3872,1.6877,1.0136,0.615,0.4855,0.3623,0.2564,0.1701,0.1278,0.0777,0.0659,0.0599,0.0558,0.0517,0.0481,0.0451
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1733,9.5576,6.0727,4.0693,2.6574,2.2053,1.965,1.6909,1.3096,0.9609,0.6191,0.4841,0.3947,0.3257,0.2706,0.2326,0.2047
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.4119,21.6118,20.4021,19.3015,18.0207,16.5742,15.0509,12.5637,10.7424,9.2983,8.1445,7.2095,6.5225,6.0497,5.6336,5.2255,4.8305
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4848,5.5317,1.7357,1.048,0.633,0.4849,0.3443,0.2391,0.1589,0.1198,0.0703,0.0589,0.0533,0.0496,0.0462,0.0435,0.0415
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4848,9.8787,6.3171,4.2348,2.7246,2.2515,1.9992,1.7172,1.3488,0.9872,0.6356,0.5,0.4109,0.3421,0.2883,0.2521,0.2268
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6299,21.9046,20.7604,19.709,18.4639,17.0245,15.5097,13.0044,11.1325,9.6639,8.4936,7.5467,6.8509,6.4196,6.0151,5.6075,5.2206
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4954,5.5362,1.6974,1.0117,0.6117,0.4684,0.3271,0.2273,0.1468,0.1106,0.0639,0.0537,0.0486,0.0451,0.0419,0.039,0.037
