Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.8386,0.866,0.2507,0.1259,0.0654,0.0472,0.036,0.0226,0.0135,0.0085,0.005,0.0034,0.0025,0.0019,0.0015,0.0012,0.0009
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.8386,1.5013,0.8422,0.4797,0.2668,0.1942,0.1526,0.1157,0.0784,0.0515,0.0305,0.0203,0.013999999999999,0.0098,0.0069,0.0051,0.0038
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.916,3.3349,2.733,2.1909,1.7345,1.3586,1.0549,0.7491,0.5479,0.4091,0.3111,0.2396,0.1872,0.1478,0.1171,0.0904,0.0695
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.6125,0.8207,0.2238,0.1128,0.0561,0.0357,0.021,0.0123,0.0061,0.0035,0.0014,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.6125,1.4594,0.7862,0.4309,0.2248,0.1546,0.1141,0.0804,0.0546,0.0326,0.0172,0.0112,0.0075,0.005,0.0033,0.0023,0.0016
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.235,2.6321,2.0859,1.6286,1.2583,0.9667,0.7366,0.5653,0.4277,0.3054,0.2227,0.165,0.1235,0.0937,0.0712,0.0549,0.0418
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.0482,0.9541,0.2769,0.1442,0.0752,0.051,0.0344,0.0212,0.0121,0.0076,0.0041,0.0028,0.0021,0.0016,0.0013,0.001,0.0008
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.0482,1.6948,0.9553,0.5517,0.3035,0.2205,0.1712,0.1287,0.0903,0.057999999999999,0.0325,0.0218,0.0151,0.0107,0.0074,0.0054,0.004
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9235,3.3477,2.7535,2.2135,1.7567,1.3799,1.076,0.8077,0.5835,0.432,0.3255,0.2485,0.1916,0.1505,0.1183,0.0915,0.0714
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.8417,0.8697,0.2515,0.1267,0.0649,0.0439,0.0291,0.0178,0.0099,0.0061,0.0032,0.0022,0.0016,0.0013,0.001,0.0007,0.0006
