Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Primary Energy|Coal,EJ/yr,157.8539,89.1243,48.0824,26.6714,15.1348,9.5209,13.902,19.3077,18.855,21.7509,19.7587,17.257,19.0951,19.2515,16.1833,35.8553,36.0455
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Primary Energy|Coal,EJ/yr,157.8448,93.9528,59.7526,58.105,66.9004,78.1811,91.2652,94.4009,92.8231,93.2547,100.5104,108.2486,115.9647,123.4804,129.8212,134.9279,137.6283
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Primary Energy|Coal,EJ/yr,157.8448,94.001,58.4445,34.196,35.2792,42.2592,58.6114,73.736,61.3124,48.0349,55.436,62.9253,71.0598,79.4832,82.5757,80.9258,74.9834
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Primary Energy|Coal,EJ/yr,156.4538,153.5346,151.827,77.2419,43.1515,48.152,56.9718,68.8183,88.67,84.666,92.5127,101.2234,110.9308,120.7115,127.2762,130.6687,130.1476
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Primary Energy|Coal,EJ/yr,159.5354,155.8511,153.3051,31.1148,15.4982,9.0367,10.4566,12.0882,25.9424,30.3578,28.5427,26.5277,29.0573,29.6745,26.5048,48.0005,48.6654
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Primary Energy|Coal,EJ/yr,156.4538,153.5346,151.827,76.512,41.5777,15.8632,18.7026,19.4827,22.4248,9.6481,13.6577,19.8383,26.573,32.8838,34.6991,32.1922,26.1081
AIM/CGE 2.0,ADVANCE_INDC,P1c,Primary Energy|Coal,EJ/yr,159.327,158.3157,157.3533,159.2753,156.0472,148.624,137.5774,121.8374,107.8865,95.7318,87.9857,84.4317,85.2457,90.3335,92.565,93.3298,92.6752
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Primary Energy|Coal,EJ/yr,163.4157,177.9271,189.5701,202.6993,213.2813,223.2332,224.5513,226.3056,237.3985,264.746,310.7731,352.7219,373.4042,373.4478,388.1268,407.1006,423.3056
AIM/CGE 2.0,ADVANCE_Reference,P1b,Primary Energy|Coal,EJ/yr,159.327,168.3814,172.7874,178.6346,185.7753,191.3513,187.0592,184.3379,187.8764,200.7647,229.7381,275.1949,316.6147,349.5596,364.5752,374.7875,394.8323
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.3032,83.8285,41.4448,32.0231,26.2517,31.6662,55.7799,49.7779,42.6178,38.2094,32.9476,31.5125,32.167,33.626,35.2072,37.1091,39.4001
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Primary Energy|Coal,EJ/yr,143.3032,117.54,94.435,77.6259,64.4098,68.2345,81.8141,90.8335,89.4161,87.9173,85.1723,84.6001,84.9547,85.516,86.3592,88.3373,91.0121
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Primary Energy|Coal,EJ/yr,169.0876,187.306,203.4133,220.2284,235.0092,247.8941,258.4838,257.1128,257.3539,258.4221,261.9496,266.8476,274.9616,288.5201,305.0673,320.0139,335.9467
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Primary Energy|Coal,EJ/yr,134.959,81.7728,37.7798,28.6246,22.3038,23.6904,31.395,31.6313,23.3078,19.2718,11.4239,10.3595,10.2046,10.084,9.8695,9.555,8.903
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Primary Energy|Coal,EJ/yr,134.959,113.9202,88.7831,69.3961,53.6648,52.8613,58.1047,67.1539,65.519,62.1722,56.4913,54.5016,53.1002,51.6662,49.7789,48.7281,48.2493
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Primary Energy|Coal,EJ/yr,151.9697,162.465,170.7272,179.2293,185.7898,191.706,195.6257,198.7613,201.2008,197.1404,194.5999,192.8161,192.6129,194.287,196.9647,203.8361,210.2708
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Primary Energy|Coal,EJ/yr,140.5628,84.0809,40.1945,31.2749,25.2498,28.1957,41.4407,43.9904,36.4351,32.4239,26.1109,24.9204,25.6168,26.8486,28.2335,29.7355,31.4882
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Primary Energy|Coal,EJ/yr,140.5628,117.9485,94.009,76.5341,62.0835,64.2231,73.8343,84.0753,83.9596,82.6183,78.9842,78.5345,78.8464,79.1959,79.3764,80.4764,82.2359
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Primary Energy|Coal,EJ/yr,160.8145,176.392,190.276,204.8855,217.6588,229.1441,238.4798,242.4551,241.6814,241.7307,243.2225,245.5374,249.4969,257.3715,267.6711,276.9309,288.7229
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.3175,83.8096,41.103,31.6599,25.6651,29.6835,48.5905,42.2683,34.269,30.2621,23.2313,22.2365,22.6348,23.5179,24.3208,25.2692,26.4458
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Primary Energy|Coal,EJ/yr,143.3175,117.5053,94.274,77.7084,64.6769,67.3503,80.1548,88.9284,87.1014,84.5837,78.9939,77.9785,77.8523,77.9426,77.9988,79.0015,80.838
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Primary Energy|Coal,EJ/yr,169.0288,187.1852,203.2122,219.9483,234.6936,247.7092,258.5786,257.5669,258.1759,259.602,263.5423,268.8747,277.4648,291.202,308.1004,323.2573,339.5468
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.3175,85.0211,43.2014,33.9477,28.5699,35.8781,60.8538,49.9965,41.6466,36.8416,29.2711,27.9564,28.6127,29.9003,31.2885,32.9225,34.8686
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Primary Energy|Coal,EJ/yr,143.3175,118.5632,99.2177,84.5964,74.041,81.3508,104.8925,103.4537,101.2887,98.6,92.3804,90.9669,90.9171,91.4514,91.9995,93.3016,93.9109
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Primary Energy|Coal,EJ/yr,169.0288,187.1852,203.2122,219.9483,234.6936,247.7092,258.5786,257.5669,258.1759,259.602,263.5423,268.8747,277.4648,291.202,308.1004,323.2573,339.5468
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.2702,83.7842,41.2012,31.7254,25.8809,30.5335,51.7266,45.5977,38.1173,33.6971,26.7047,25.784,26.5259,27.8151,29.1415,30.6755,32.466
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Primary Energy|Coal,EJ/yr,143.2702,117.4528,94.2237,77.4096,64.3447,67.4904,80.3871,89.0191,87.4843,85.6914,81.6522,80.7292,80.9616,81.4899,82.1074,83.6473,85.9307
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Primary Energy|Coal,EJ/yr,169.0239,187.1775,203.1984,219.9149,234.6077,247.4694,258.0923,256.8086,257.1455,258.3027,261.9494,266.9794,275.1979,288.7696,305.354,320.3041,336.2764
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Primary Energy|Coal,EJ/yr,144.4368,84.3911,41.4226,31.9586,25.7469,29.6906,48.1226,41.5607,33.3336,29.1393,21.315,20.3945,20.6852,21.3665,21.8818,22.3223,22.849
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Primary Energy|Coal,EJ/yr,144.4368,118.5307,95.4246,78.9571,65.6687,68.2244,80.5444,88.6496,86.5765,83.9028,78.1455,76.7429,76.3034,75.9256,75.4323,75.7029,76.5812
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Primary Energy|Coal,EJ/yr,170.943,190.1196,207.2378,224.9931,239.6599,252.3486,262.6765,261.5035,262.2133,263.5818,267.11,271.8322,279.9312,292.5581,307.8793,321.6612,334.9385
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.2879,83.8781,41.0794,31.4329,25.1428,28.4103,44.5331,38.0416,30.5386,26.7286,18.9304,18.0062,18.2849,18.95,19.611,20.3136,21.21
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Primary Energy|Coal,EJ/yr,143.2879,117.5158,94.1391,77.0148,63.4393,65.4438,77.1394,85.0602,83.4953,80.7994,74.9507,73.5017,73.0283,72.8474,72.6234,73.4275,75.0462
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Primary Energy|Coal,EJ/yr,168.9865,187.0903,203.0181,219.5931,234.108,246.7865,257.2156,255.972,256.4008,257.734,261.5444,266.7801,275.2469,288.8457,305.5638,320.5531,336.5969
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Primary Energy|Coal,EJ/yr,143.1736,83.7773,40.6476,30.8099,24.6936,27.8655,43.1435,37.0797,29.3565,25.839,18.1502,17.235,17.3784,17.8777,18.3043,18.7283,19.41
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Primary Energy|Coal,EJ/yr,143.1736,117.3667,93.8096,76.6603,62.4031,64.1002,74.9549,82.3756,80.9818,78.4597,73.2417,72.744,73.0589,73.646,74.3069,75.7013,77.7413
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Primary Energy|Coal,EJ/yr,168.8693,186.8714,202.671,219.0715,233.3997,246.0353,256.5268,255.3143,255.7234,257.0097,260.7758,265.8973,274.3072,287.8406,304.4171,319.2792,334.2607
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Primary Energy|Coal,EJ/yr,144.2141,85.635,43.0869,33.2672,27.7036,33.5888,54.3305,44.5287,36.395,32.3992,25.2597,24.1035,24.5217,25.4112,26.1287,26.8808,27.7765
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Primary Energy|Coal,EJ/yr,144.2141,119.647,100.6364,84.8385,72.6612,77.7879,95.5341,93.6105,91.6266,89.544,84.9164,83.6972,83.3754,83.1771,82.8237,83.3809,84.672
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Primary Energy|Coal,EJ/yr,170.7318,189.6923,206.4697,223.6912,237.6544,249.4265,258.6656,256.7145,256.7255,257.4946,260.3987,264.5391,271.9475,284.2561,298.5073,311.8851,324.5685
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Primary Energy|Coal,EJ/yr,132.4593,83.5497,38.7552,29.4825,23.3501,25.394,36.9979,37.766,29.3574,25.2093,18.1675,16.6147,16.1829,15.9357,15.4341,14.7438,14.0046
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Primary Energy|Coal,EJ/yr,132.4593,115.1057,93.0142,75.2317,57.8769,56.6853,61.7836,66.1247,64.6284,62.1468,58.5472,56.8693,55.5374,54.0567,52.1962,50.4886,48.84
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Primary Energy|Coal,EJ/yr,145.8303,154.9313,162.359,169.9508,174.3945,178.0492,179.8332,180.7214,182.7886,181.3941,175.7049,170.9199,166.9266,163.7333,160.8832,159.8837,160.0861
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Primary Energy|Coal,EJ/yr,149.2671,140.4671,131.5542,55.8536,37.1804,41.7766,50.8391,54.7951,54.0711,55.0844,58.965,63.5272,68.6023,73.6543,78.1867,82.274,85.1645
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Primary Energy|Coal,EJ/yr,150.1003,142.6745,132.2043,134.809,135.8816,136.4276,137.5898,141.6351,148.081,158.2416,165.8779,176.1946,189.7309,205.1458,222.0754,238.4035,252.2725
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Primary Energy|Coal,EJ/yr,149.2671,140.4671,131.5542,55.1496,37.2762,27.0285,35.5093,46.5646,46.1698,40.308,44.3641,49.5456,54.8377,59.7278,64.0258,66.3471,65.9101
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Primary Energy|Coal,EJ/yr,150.3062,156.3943,159.0731,164.4488,168.6028,173.6498,180.4355,192.9841,204.9229,220.2894,234.7063,251.2162,264.1189,278.2972,293.512,316.4391,325.9232
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Primary Energy|Coal,EJ/yr,145.9796,98.776,49.5244,28.7861,32.1002,48.1912,54.4473,54.9828,56.1318,55.5498,60.0574,65.196,70.8927,75.6275,80.2842,84.5798,86.8821
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Primary Energy|Coal,EJ/yr,148.1872,105.2647,51.2435,42.4453,47.2702,53.2291,55.4368,56.8796,57.6836,58.6451,63.37,68.4595,74.2086,79.9559,84.5753,87.9401,89.9655
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Primary Energy|Coal,EJ/yr,145.9881,83.6271,44.8855,29.3707,27.973,35.8957,23.2697,21.4077,21.5317,22.6694,24.5701,24.9147,21.0901,19.3665,20.0406,20.5409,15.3121
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Primary Energy|Coal,EJ/yr,164.6883,178.2344,191.6057,206.6288,219.0213,230.5472,239.468,246.4824,252.9006,264.4155,278.3441,301.7706,325.4721,344.1878,349.2151,353.9428,373.4168
AIM/CGE 2.1,CO_Bridge,P3c,Primary Energy|Coal,EJ/yr,168.6025,134.7567,109.0305,84.3932,68.8498,56.6735,46.046,41.75975,37.4735,34.1961,30.9187,28.3413,25.7639,23.71865,21.6734,20.021,18.3686
AIM/CGE 2.1,CO_CurPol,P1b,Primary Energy|Coal,EJ/yr,168.6977,177.6699,181.6441,189.3367,194.6189,198.2543,194.9284,196.19455,197.4607,199.2111,200.9615,205.72945,210.4974,218.5453,226.5932,235.4596,244.326
AIM/CGE 2.1,EMF33_Baseline,P1a,Primary Energy|Coal,EJ/yr,172.2333,190.4041,205.223,221.569,234.8779,247.0102,243.6316,246.4469,263.238,303.0674,361.714,403.8473,402.2172,403.6765,415.6768,432.064,448.2611
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Primary Energy|Coal,EJ/yr,163.4618,103.9054,70.9946,58.294,67.3917,77.5018,92.1509,106.4195,104.5195,107.202,110.939,119.9688,129.4904,138.0532,146.0925,152.9566,158.7554
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Primary Energy|Coal,EJ/yr,163.4853,104.0472,71.3983,59.4572,69.3159,78.4151,91.9689,104.2226,101.9727,104.3727,110.2635,117.5267,126.0722,134.3803,142.0754,148.5201,154.7403
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Primary Energy|Coal,EJ/yr,163.4853,104.0472,71.366,58.6556,65.8624,72.3551,88.2816,103.5744,95.9774,85.5386,73.8691,82.5099,90.9348,99.721,108.5099,116.3038,123.743
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Primary Energy|Coal,EJ/yr,163.4681,103.6693,71.9887,59.5271,68.0314,77.5831,101.074,115.6912,106.9111,94.7559,81.5583,91.0132,100.5661,110.7776,121.0594,130.5242,139.5601
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Primary Energy|Coal,EJ/yr,163.3096,103.1872,71.2487,58.3375,66.0796,75.3819,98.9671,114.6428,103.44,88.4018,72.7322,81.1359,88.9216,97.9899,107.276,115.9093,124.516
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Primary Energy|Coal,EJ/yr,163.4618,103.9054,70.9946,39.4258,37.4438,44.3714,63.4974,90.4887,78.2254,61.4472,39.2003,45.57,53.2971,61.9904,71.0042,79.6921,88.6812
