Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2a,Secondary Energy|Electricity|Coal,EJ/yr,35.7534,21.2944,10.8985,5.6373,2.9378,1.7904,2.9095,4.4083,4.3168,5.0623,4.621,4.0569,4.5828,4.6876,3.964,8.9845,9.0924
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2a,Secondary Energy|Electricity|Coal,EJ/yr,35.7511,22.5371,13.7011,12.8939,14.6458,17.0362,19.9502,20.6626,20.5646,21.1135,22.9594,24.9667,27.0791,29.1622,31.0204,32.5912,33.68
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2a,Secondary Energy|Electricity|Coal,EJ/yr,35.7511,22.5425,13.4327,7.3632,7.4758,9.1334,13.3889,17.2372,14.4928,11.4707,13.369,15.3248,17.4496,19.7,20.6313,20.3753,19.0288
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,Secondary Energy|Electricity|Coal,EJ/yr,35.5586,34.7265,34.5542,18.1978,9.4695,10.5227,12.6063,15.4253,20.3256,19.5867,21.5023,23.7246,26.2099,28.774,30.6598,31.8255,32.0547
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,Secondary Energy|Electricity|Coal,EJ/yr,36.2031,35.2893,34.9422,6.9837,3.1777,1.7461,2.2769,2.7569,6.3093,7.4085,7.0282,6.6015,7.3172,7.5438,6.785,12.4267,12.6731
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,Secondary Energy|Electricity|Coal,EJ/yr,35.5586,34.7265,34.5542,18.0521,9.0852,3.11,3.9582,4.2652,5.1991,2.1712,3.1856,4.7572,6.4946,8.1464,8.6719,8.0953,6.5866
AIM/CGE 2.0,ADVANCE_INDC,P1c,Secondary Energy|Electricity|Coal,EJ/yr,36.1644,35.7747,35.8832,37.4623,37.7977,36.653,34.3599,29.9618,25.8626,23.1179,21.168,20.3978,20.9543,22.8004,23.7762,24.2711,24.3722
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,37.3205,41.99,46.1464,50.8648,55.0325,59.2213,61.2348,62.521,66.3038,74.4691,88.0604,101.3287,109.5012,111.8606,117.8192,125.2072,131.4916
AIM/CGE 2.0,ADVANCE_Reference,P1b,Secondary Energy|Electricity|Coal,EJ/yr,36.1644,38.9465,40.6913,43.0365,46.2031,49.1022,49.5289,49.4974,51.2189,55.4391,63.9749,77.341,90.47,101.554,108.3145,113.5422,121.1637
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1761,21.4286,9.9706,7.4281,5.9664,7.438,14.0326,12.6153,10.8951,9.8496,8.5728,8.2738,8.5231,8.9929,9.4939,10.0814,10.7765
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1761,30.3924,23.8674,18.7942,15.063,15.8308,19.1929,21.5194,21.5414,21.5819,21.4113,21.6229,22.0112,22.4066,22.863,23.5894,24.4826
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.1419,48.557,54.6306,61.063,67.2275,73.1225,78.5961,79.7605,81.3123,83.0783,85.7139,88.8325,92.9863,98.5855,105.5387,111.789,118.496
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,33.7167,21.0074,9.1034,6.5877,4.9824,5.4374,7.755,8.0156,5.9526,4.9488,2.9189,2.6525,2.6289,2.6118,2.5702,2.4974,2.3266
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,33.7167,29.3216,22.6464,16.8958,12.5043,12.111,13.3746,15.6701,15.5618,15.1246,14.136,13.8597,13.6829,13.4713,13.1209,12.9497,12.9115
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,37.7013,41.8358,45.4707,49.2159,52.5656,55.9378,58.8368,60.7101,62.4562,62.3786,62.6796,63.1545,64.0931,65.6896,67.4052,70.5059,73.4161
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,35.8582,21.9157,9.8216,7.3538,5.7932,6.6371,10.3781,11.2971,9.4572,8.4924,6.8978,6.6398,6.8869,7.276,7.7072,8.171,8.705
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,35.8582,31.03,24.334,18.974,14.8422,15.1647,17.4949,20.0811,20.3866,20.4729,20.078,20.2751,20.6182,20.945,21.2036,21.6829,22.3115
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,40.671,46.4762,51.9772,57.7869,63.3115,68.712,73.6662,76.1899,77.3695,78.7352,80.5665,82.6711,85.2695,88.9726,93.3273,97.279,102.3116
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1753,21.4073,9.8548,7.299,5.7882,6.9295,12.2369,10.7186,8.7636,7.7943,6.0183,5.8051,5.9544,6.2327,6.4866,6.7826,7.1421
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1753,30.3599,23.7795,18.7394,15.0863,15.5868,18.792,21.1334,21.0858,20.8975,20.0017,20.0717,20.3128,20.5797,20.8065,21.251,21.9004
